# gt3-bmw-gt3-2025
--- baseline ---
  captured: 2026-05-31 11:53
  "R": [7025,6575,6575,0,6575,6575,6575,6725,6725,6725,0,6725,6725]
  "N": [7025,6575,6575,0,6575,6575,6575,6725,6725,6725,0,6725,6725]
  "1": [7025,6575,6575,0,6575,6575,6575,6725,6725,6725,0,6725,6725]
  "2": [7025,6575,6575,0,6575,6575,6575,6725,6725,6725,0,6725,6725]
  "3": [7025,6575,6575,0,6575,6575,6575,6725,6725,6725,0,6725,6725]
  "4": [7025,6575,6575,0,6575,6575,6575,6725,6725,6725,0,6725,6725]
  "5": [7025,6575,6575,0,6575,6575,6575,6725,6725,6725,0,6725,6725]
  "6": [7025,6575,6575,0,6575,6575,6575,6725,6725,6725,0,6725,6725]
  "7": [7025,6575,6575,0,6575,6575,6575,6725,6725,6725,0,6725,6725]
  "8": [7025,6575,6575,0,6575,6575,6575,6725,6725,6725,0,6725,6725]

  "R": [1.0000,0.9359,0.9359,0.0000,0.9359,0.9359,0.9359,0.9573,0.9573,0.9573,0.0000,0.9573,0.9573]
  "N": [1.0000,0.9359,0.9359,0.0000,0.9359,0.9359,0.9359,0.9573,0.9573,0.9573,0.0000,0.9573,0.9573]
  "1": [1.0000,0.9359,0.9359,0.0000,0.9359,0.9359,0.9359,0.9573,0.9573,0.9573,0.0000,0.9573,0.9573]
  "2": [1.0000,0.9359,0.9359,0.0000,0.9359,0.9359,0.9359,0.9573,0.9573,0.9573,0.0000,0.9573,0.9573]
  "3": [1.0000,0.9359,0.9359,0.0000,0.9359,0.9359,0.9359,0.9573,0.9573,0.9573,0.0000,0.9573,0.9573]
  "4": [1.0000,0.9359,0.9359,0.0000,0.9359,0.9359,0.9359,0.9573,0.9573,0.9573,0.0000,0.9573,0.9573]
  "5": [1.0000,0.9359,0.9359,0.0000,0.9359,0.9359,0.9359,0.9573,0.9573,0.9573,0.0000,0.9573,0.9573]
  "6": [1.0000,0.9359,0.9359,0.0000,0.9359,0.9359,0.9359,0.9573,0.9573,0.9573,0.0000,0.9573,0.9573]
  "7": [1.0000,0.9359,0.9359,0.0000,0.9359,0.9359,0.9359,0.9573,0.9573,0.9573,0.0000,0.9573,0.9573]
  "8": [1.0000,0.9359,0.9359,0.0000,0.9359,0.9359,0.9359,0.9573,0.9573,0.9573,0.0000,0.9573,0.9573]
