# gte-porsche-911-2023
--- LMP3 Cleanup & 2026 CarClass Fixes ---
  captured: 2026-06-13 15:17
  "R": [9035,8150,8300,8445,8595,8885,8885,8595,8445,8300,8150]
  "N": [9035,8150,8300,8445,8595,8885,8885,8595,8445,8300,8150]
  "1": [9035,8150,8300,8445,8595,8885,8885,8595,8445,8300,8150]
  "2": [9035,8150,8300,8445,8595,8885,8885,8595,8445,8300,8150]
  "3": [9035,8150,8300,8445,8595,8885,8885,8595,8445,8300,8150]
  "4": [9035,8150,8300,8445,8595,8885,8885,8595,8445,8300,8150]
  "5": [9035,8150,8300,8445,8595,8885,8885,8595,8445,8300,8150]
  "6": [9035,8150,8300,8445,8595,8885,8885,8595,8445,8300,8150]
  "7": [9035,8150,8300,8445,8595,8885,8885,8595,8445,8300,8150]
  "8": [9035,8150,8300,8445,8595,8885,8885,8595,8445,8300,8150]

  "R": [1.0000,0.9020,0.9186,0.9347,0.9513,0.9834,0.9834,0.9513,0.9347,0.9186,0.9020]
  "N": [1.0000,0.9020,0.9186,0.9347,0.9513,0.9834,0.9834,0.9513,0.9347,0.9186,0.9020]
  "1": [1.0000,0.9020,0.9186,0.9347,0.9513,0.9834,0.9834,0.9513,0.9347,0.9186,0.9020]
  "2": [1.0000,0.9020,0.9186,0.9347,0.9513,0.9834,0.9834,0.9513,0.9347,0.9186,0.9020]
  "3": [1.0000,0.9020,0.9186,0.9347,0.9513,0.9834,0.9834,0.9513,0.9347,0.9186,0.9020]
  "4": [1.0000,0.9020,0.9186,0.9347,0.9513,0.9834,0.9834,0.9513,0.9347,0.9186,0.9020]
  "5": [1.0000,0.9020,0.9186,0.9347,0.9513,0.9834,0.9834,0.9513,0.9347,0.9186,0.9020]
  "6": [1.0000,0.9020,0.9186,0.9347,0.9513,0.9834,0.9834,0.9513,0.9347,0.9186,0.9020]
  "7": [1.0000,0.9020,0.9186,0.9347,0.9513,0.9834,0.9834,0.9513,0.9347,0.9186,0.9020]
  "8": [1.0000,0.9020,0.9186,0.9347,0.9513,0.9834,0.9834,0.9513,0.9347,0.9186,0.9020]

--- baseline ---
  captured: 2026-05-31 11:53
  "R": [9035,8150,8300,8445,8595,8885,8885,8595,8445,8300,8150]
  "N": [9035,8150,8300,8445,8595,8885,8885,8595,8445,8300,8150]
  "1": [9035,8150,8300,8445,8595,8885,8885,8595,8445,8300,8150]
  "2": [9035,8150,8300,8445,8595,8885,8885,8595,8445,8300,8150]
  "3": [9035,8150,8300,8445,8595,8885,8885,8595,8445,8300,8150]
  "4": [9035,8150,8300,8445,8595,8885,8885,8595,8445,8300,8150]
  "5": [9035,8150,8300,8445,8595,8885,8885,8595,8445,8300,8150]
  "6": [9035,8150,8300,8445,8595,8885,8885,8595,8445,8300,8150]
  "7": [9035,8150,8300,8445,8595,8885,8885,8595,8445,8300,8150]
  "8": [9035,8150,8300,8445,8595,8885,8885,8595,8445,8300,8150]

  "R": [1.0000,0.9020,0.9186,0.9347,0.9513,0.9834,0.9834,0.9513,0.9347,0.9186,0.9020]
  "N": [1.0000,0.9020,0.9186,0.9347,0.9513,0.9834,0.9834,0.9513,0.9347,0.9186,0.9020]
  "1": [1.0000,0.9020,0.9186,0.9347,0.9513,0.9834,0.9834,0.9513,0.9347,0.9186,0.9020]
  "2": [1.0000,0.9020,0.9186,0.9347,0.9513,0.9834,0.9834,0.9513,0.9347,0.9186,0.9020]
  "3": [1.0000,0.9020,0.9186,0.9347,0.9513,0.9834,0.9834,0.9513,0.9347,0.9186,0.9020]
  "4": [1.0000,0.9020,0.9186,0.9347,0.9513,0.9834,0.9834,0.9513,0.9347,0.9186,0.9020]
  "5": [1.0000,0.9020,0.9186,0.9347,0.9513,0.9834,0.9834,0.9513,0.9347,0.9186,0.9020]
  "6": [1.0000,0.9020,0.9186,0.9347,0.9513,0.9834,0.9834,0.9513,0.9347,0.9186,0.9020]
  "7": [1.0000,0.9020,0.9186,0.9347,0.9513,0.9834,0.9834,0.9513,0.9347,0.9186,0.9020]
  "8": [1.0000,0.9020,0.9186,0.9347,0.9513,0.9834,0.9834,0.9513,0.9347,0.9186,0.9020]
